objectId,parent_candid,jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,candid,isdiffpos,tblid,nid,rcid,field,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,ssdistnr,ssmagnr,ssnamenr,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion
ZTF18ablrzdz,598408834315015005,2458333.9760532,1,579476054315,20.0022,/ztf/archive/sci/2018/0803/476053/ztf_20180803476053_000695_zg_c11_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,t8_f5_c3
ZTF18abquyqj,1092097503315015007,2458819.6473727,2,1065147373315,19.7069,/ztf/archive/sci/2019/1202/147373/ztf_20191202147373_000501_zr_c09_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,,,,1065.0,33.0,501.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.7765,1.88512e-05,0.0320862,0.113261,2.54031e-05,t17_f5_c3
ZTF18abquyqj,1092097503315015007,2458819.690162,1,1065190163315,17.5088,/ztf/archive/sci/2019/1202/190127/ztf_20191202190127_000501_zg_c09_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,,,,1065.0,33.0,501.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.7249,0.00260803,0.177523,0.0744769,0.00653532,t17_f5_c3
ZTF18abquyqj,1100125283315015010,2458828.6252199,1,1074125213315,19.0312,/ztf/archive/sci/2019/1211/125197/ztf_20191211125197_000501_zg_c09_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,,,,1074.0,33.0,501.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0268,3.81015e-05,0.0366907,-0.0509914,7.31661e-05,t17_f5_c3
ZTF18abquyqj,1105091223315015008,2458831.6042361,2,1077104233315,19.9451,/ztf/archive/sci/2019/1214/104213/ztf_20191214104213_000501_zr_c09_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,,,,1077.0,33.0,501.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.2792,1.4085e-05,0.0279839,0.118156,1.90716e-05,t17_f5_c3
ZTF18abquyqj,1105091223315015008,2458831.6236111,1,1077123613315,19.795,/ztf/archive/sci/2019/1214/123611/ztf_20191214123611_000501_zg_c09_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,,,,1077.0,33.0,501.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.2896,2.65755e-05,0.0364507,-0.0415105,4.15681e-05,t17_f5_c3
ZTF18abquyqj,1100125283315015010,2458835.6280903,1,1081128093315,19.4138,/ztf/archive/sci/2019/1218/128090/ztf_20191218128090_000501_zg_c09_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,,,,1081.0,33.0,501.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.1361,4.74732e-05,0.0366266,-0.0406113,9.76461e-05,t17_f5_c3
ZTF18abquyqj,1100125283315015010,2458837.623044,1,1083123043315,20.3588,/ztf/archive/sci/2019/1220/122917/ztf_20191220122917_000501_zg_c09_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,,,,1083.0,33.0,501.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.2948,3.21552e-05,0.0424031,-0.0828597,4.5586e-05,t17_f5_c3
ZTF18abquyqj,1100125283315015010,2458838.628044,1,1084128043315,19.209,/ztf/archive/sci/2019/1221/128044/ztf_20191221128044_000501_zg_c09_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,,,,1084.0,33.0,501.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.6079,4.28888e-05,0.0394324,-0.0382361,8.33692e-05,t17_f5_c3
ZTF18abquyqj,1141119173315015005,2458881.643044,1,1127143043315,19.5718,/ztf/archive/sci/2020/0202/143044/ztf_20200202143044_000501_zg_c09_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,,,,1127.0,33.0,501.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.2095,4.24544e-05,0.0442766,-0.0504192,7.1629e-05,t17_f5_c3
ZTF18abquyqj,1141119173315015005,2458884.6071644,1,1130107163315,18.8332,/ztf/archive/sci/2020/0205/107118/ztf_20200205107118_000501_zg_c09_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,,,,1130.0,33.0,501.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.2256,9.09831e-05,0.0453942,-0.0274433,0.000190056,t17_f5_c3
ZTF18abquyqj,1141119173315015005,2458887.6837847,1,1133183783315,18.8072,/ztf/archive/sci/2020/0208/183773/ztf_20200208183773_000501_zg_c09_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,,,,1133.0,33.0,501.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0545,4.37462e-05,0.0356206,-0.0293587,8.651e-05,t17_f5_c3
ZTF18abxqnxa,1025229875615015008,2458749.7947685,2,995294765615,20.1696,/ztf/archive/sci/2019/0923/294768/ztf_20190923294768_000295_zr_c15_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,,,,995.0,56.0,295.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0332,1.24965e-05,0.0256983,0.0876232,1.78369e-05,t17_f5_c3
ZTF18abxqnxa,1025229875615015008,2458749.8186343,1,995318635615,20.3922,/ztf/archive/sci/2019/0923/318634/ztf_20190923318634_000295_zg_c15_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,,,,995.0,56.0,295.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0947,2.09357e-05,0.0332339,-0.0801088,3.00147e-05,t17_f5_c3
ZTF18abxqnxa,1031317915615015011,2458757.8193171,2,1003319315615,20.1451,/ztf/archive/sci/2019/1001/319317/ztf_20191001319317_000295_zr_c15_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,,,,1003.0,56.0,295.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0666,1.0977e-05,0.0241918,0.105079,1.57564e-05,t17_f5_c3
ZTF18abxqnxa,1035252805615015009,2458760.8142245,2,1006314225615,20.198,/ztf/archive/sci/2019/1004/314225/ztf_20191004314225_000295_zr_c15_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,,,,1006.0,56.0,295.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0484,1.30549e-05,0.0264503,0.109684,1.86698e-05,t17_f5_c3
ZTF18abxqnxa,1035252805615015009,2458760.85375,1,1006353755615,20.2333,/ztf/archive/sci/2019/1004/353750/ztf_20191004353750_000295_zg_c15_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,,,,1006.0,56.0,295.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.1082,2.4257e-05,0.0357427,-0.0457079,3.70784e-05,t17_f5_c3
ZTF18abxqnxa,1035252805615015009,2458764.8790741,1,1010379075615,20.2917,/ztf/archive/sci/2019/1008/379074/ztf_20191008379074_000295_zg_c15_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,,,,1010.0,56.0,295.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.089,1.8093e-05,0.0310112,-0.0819362,2.6485e-05,t17_f5_c3
ZTF18abxqnxa,1038190415615015008,2458764.899294,2,1010399295615,20.0453,/ztf/archive/sci/2019/1008/399294/ztf_20191008399294_000295_zr_c15_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,,,,1010.0,56.0,295.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0121,1.17426e-05,0.0250987,0.102957,1.67049e-05,t17_f5_c3
ZTF18abxqnxa,1035252805615015009,2458770.8550579,2,1016355055615,18.4768,/ztf/archive/sci/2019/1014/354618/ztf_20191014354618_000295_zr_c15_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,,,,1016.0,56.0,295.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0147,4.14164e-05,0.0416441,0.0961686,6.45925e-05,t17_f5_c3
ZTF18abxqnxa,1038190415615015008,2458773.7716782,2,1019271675615,18.3396,/ztf/archive/sci/2019/1017/271574/ztf_20191017271574_000295_zr_c15_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,,,,1019.0,56.0,295.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.3804,0.000104372,0.0677773,0.0997451,0.000156191,t17_f5_c3
