 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 19 533 13 2 ZTF_r 1470519185015 0 2.3746 159.827 8.94153 26.151 4.9492e-06 0.0279056 0.0945613 1.06432e-05 973 30. 0.072256 0.065798 19.8238 26.151 1 2459225.0191898 533120250 56.7567113972599 47.3711982781406 1.33277750541641 0.91248558176009 116.696965989319 78.4156503628718 1.4982076438281 1.08280439142495 null null null null null 2458186.976065 2458255.813901 57
 20 533 13 2 ZTF_g 1470556505015 0 4.1643 88.5952 6.86071 26.2762 1.50703e-05 0.0407524 -0.0361983 4.26369e-05 791 30. 0.103722 0.085455 19.77 26.2762 1 2459225.0565046 533120150 -1.13338918030479 50.0382164490111 -0.02519602566776 0.949883517102198 -0.21256015910764 62.1574733127418 -0.00344273588683652 1.20734866608141 null null null null null 2458203.992778 2458360.637616 57
 21 533 13 2 ZTF_r 1473556315015 0 2.4148 168.948 8.43085 26.2187 4.2238e-06 0.025776 0.0819014 9.18157e-06 973 30. 0.068734 0.062897 19.9487 26.2187 1 2459228.0563194 533120250 59.9805127572313 41.9333636749544 1.5911285723854 0.957048057350034 56.9224734751843 68.8419165470613 0.832426702848895 1.08711248583444 null null null null null 2458186.976065 2458255.813901 57
 22 533 13 2 ZTF_g 1476486965015 0 3.1184 78.2615 6.59121 26.1299 1.53823e-05 0.044599 -0.0255609 3.99744e-05 883 30. 0.115593 0.083752 19.884 26.1299 1 2459230.9869676 533120150 9.94176388014576 39.0472115184019 0.283222805468333 1.0029813702635 12.7623547471444 55.613150877886 0.231030066411079 1.11201716967168 null null null null null 2458203.992778 2458360.637616 57
 23 533 13 2 ZTF_r 1476525085015 0 2.67 174.382 7.95879 26.2612 4.8115e-06 0.0275985 0.0850019 1.04575e-05 979 30. 0.078667 0.066986 19.9478 26.2612 1 2459231.025081 533120250 -41.515858151443 41.0341697729672 -1.12544213253508 1.00780725681126 -75.343822446356 63.6561188135307 -1.19157857625007 1.10483091964896 null null null null null 2458186.976065 2458255.813901 57
 24 533 13 2 ZTF_r 1478497405015 0 1.9886 167.533 9.6737 26.2059 2.8524e-06 0.0212011 0.0896182 6.22245e-06 976 30. 0.063168 0.056794 19.9602 26.2059 1 2459232.9974074 533120250 0.444970587349695 44.3194250197533 0.0111684264540166 0.910404024115114 51.3272906713168 80.3548026597469 0.643060292810405 1.06557028048654 null null null null null 2458186.976065 2458255.813901 57
 25 533 13 2 ZTF_g 1478539625015 0 2.0673 89.9299 7.09326 26.2916 9.0149e-06 0.0374459 -0.06246 2.01185e-05 963 30. 0.087308 0.064498 20.3338 26.2916 1 2459233.0396296 533120150 27.2073782813382 31.2421156787751 0.968726231606998 1.00301951545784 53.0108525808108 55.5560529655975 0.960613306275819 1.06923645360065 null null null null null 2458203.992778 2458360.637616 57
 26 533 13 2 ZTF_r 1495503695015 0 2.4777 179.759 9.86822 26.2954 3.6478e-06 0.0239861 0.08708 7.98146e-06 972 30. 0.060253 0.067819 19.8174 26.2954 1 2459250.0036921 533120250 42.122414342653 51.3662352424837 0.912200530602191 0.975307483318929 26.6487681298259 83.2222685683259 0.322368634957224 1.08749609173782 null null null null null 2458186.976065 2458255.813901 57
 27 533 13 2 ZTF_g 1495525785015 0 2.605 95.0992 8.6503 26.3478 8.1307e-06 0.0341823 -0.0234306 1.96081e-05 933 30. 0.06033 0.070416 20.0139 26.3478 1 2459250.025787 533120150 22.7244767273825 41.4481261480423 0.609879157405415 1.10384636326038 99.4882238165834 66.1042443108861 1.51515661017155 1.10040679795736 null null null null null 2458203.992778 2458360.637616 57
 28 533 13 2 ZTF_r 1497489125015 0 3.4049 177.158 8.78198 26.2797 7.1588e-06 0.0336503 0.0859213 1.56322e-05 972 30. 0.089297 0.0833 19.6697 26.2797 1 2459251.9891204 533120250 -2.85364421322063 55.4651448439412 -0.0572314138381029 0.910011868646945 60.6472081508459 76.4240584750776 0.798906415143917 1.1384716619377 null null null null null 2458186.976065 2458255.813901 57
