mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magpsf_corr_ext,magap,magap_corr,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,sigmagap_corr,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,candid_alert,step_id_corr,phase,parent_candid
58606.47552079987,"852475521015010080",1,852475521015,21.011246,-1,852,0.13072364,20.124647,18.173552,"",20.3692,"",0.19849682,0.027878592,0.032909065,0.2179,"",299.1788589,22.4783624,0.6457143,"t15_f5_c3",0,20.2493,0.2453,640120110,true,true,false,"","corr_bulk_0.0.1",0,0
58606.4759837999,"852475984815010030",1,852475984815,21.000553,-1,852,0.3127894,20.094992,18.197311,"",20.0211,"",0.21181451,0.032411765,0.036887866,0.1673,"",299.1789617,22.4782859,0.56142855,"t15_f5_c3",0,19.7205,0.1594,591120148,true,true,false,"","corr_bulk_0.0.1",0,0
58608.44995369995,"854449954815015004",1,854449954815,20.6339,1,854,0.48408,20.1868,17.884274,"",19.8048,"",0.262641,0.028603794,0.031502984,0.18,"",299.1788022,22.4782675,0.554286,"t15_f5_c3","",19.8564,0.2374,591120248,false,true,false,"","corr_bulk_0.0.1",0,883421334815010000
58632.437650499865,"878437651015010093",1,878437651015,20.722775,-1,878,0.070938416,20.144114,18.170359,"",19.9133,"",0.20458744,0.028274648,0.033218257,0.1798,"",299.1788936,22.4783639,0.7985714,"t17_f5_c3",0,20.0907,0.2676,640120110,true,true,false,"","corr_bulk_0.0.1",0,0
58632.461168999784,"878461161015010031",2,878461161015,20.462894,-1,878,0.167477,18.733727,17.17719,"",18.6929,"",0.12467155,0.014398656,0.02972712,0.0821,"",299.1789223,22.4783704,0.86,"t17_f5_c3",0,18.8644,0.1207,640120210,true,true,false,"","corr_bulk_0.0.1",0,0
58632.461655099876,"878461654815010013",2,878461654815,20.278425,-1,878,0.17634584,18.90092,17.21312,"",18.9098,"",0.10110245,100,0.021361966,0.1102,"",299.1789419,22.4783075,0.9128571,"t17_f5_c3",0,18.9452,0.144,591120248,true,true,false,"","corr_bulk_0.0.1",0,0
58634.44332179986,"880443324815015008",1,880443324815,20.9391,1,880,0.053353,20.1601,17.881035,"",19.9557,"",0.269569,0.030305702,0.033040285,0.1669,"",299.1789045,22.4783411,0.797143,"t17_f5_c3","",20.0405,0.2253,591120248,false,true,false,"","corr_bulk_0.0.1",0,908321094815010000
58637.42133100005,"883421334815010052",2,883421334815,20.962921,-1,883,0.19138223,18.911106,17.21098,"",18.9484,"",0.12940331,0.016039789,0.02703304,0.0748,"",299.1788732,22.4783846,0.8371429,"t17_f5_c3",0,18.8962,0.0879,591120248,true,true,false,"","corr_bulk_0.0.1",0,0
58637.42320600012,"883423201015010055",2,883423201015,20.99442,-1,883,0.16195701,18.84544,17.152168,"",18.7704,"",0.2162837,0.037702978,0.04546896,0.0622,"",299.1788601,22.4783755,0.6957143,"t17_f5_c3",0,18.7486,0.075,640120210,true,true,false,"","corr_bulk_0.0.1",0,0
58638.46187500004,"884461871015010043",2,884461871015,20.406643,-1,884,0.3498672,18.966022,17.128437,"",19.0145,"",0.15454784,0.013817315,0.028446477,0.112,"",299.1788239,22.4784191,0.84,"t17_f5_c3",0,19.1509,0.1595,640120210,true,true,false,"","corr_bulk_0.0.1",0,0
58644.424363399856,"890424361015010072",1,890424361015,20.545416,-1,890,0.10743372,19.900284,18.21568,"",20.1809,"",0.17949015,0.033411033,0.038036328,0.2532,"",299.1788915,22.478312,0.9257143,"t17_f5_c3",0,20.1059,0.3003,640120110,true,true,false,"","corr_bulk_0.0.1",0,0
58645.42189810006,"891421891015010183",1,891421891015,20.696287,-1,891,0.06307684,20.064249,18.183899,"",20.0376,"",0.20758815,0.032212973,0.0367335,0.2104,"",299.1788756,22.4783403,0.82285714,"t17_f5_c3",0,20.2526,0.3243,640120110,true,true,false,"","corr_bulk_0.0.1",0,0
58651.42280089995,"897422801015010029",2,897422801015,19.8037,-1,897,0.37588,18.5563,17.224152,"",18.4272,"",0.222282,0.059241693,0.06516958,0.1171,"",299.1787782,22.478378,0.635714,"t17_f5_c3","",18.4464,0.1523,640120210,false,true,false,"","corr_bulk_0.0.1",0,909352761015010000
58652.43693289999,"898436931015010080",2,898436931015,19.770378,-1,898,0.1468969,18.363617,17.287794,"",18.4678,"",0.15875134,0.05142321,0.058937043,0.1242,"",299.1788453,22.4783525,0.6471428,"t17_f5_c3",0,18.3716,0.1452,640120210,true,true,false,"","corr_bulk_0.0.1",0,0
58657.40005790023,"903400054815010018",2,903400054815,20.09928,-1,903,0.1554644,18.627844,17.280788,"",18.6228,"",0.11263189,0.022856534,0.032571606,0.0998,"",299.1788815,22.4783197,0.80142856,"t17_f5_c3",0.9999989,18.5869,0.1224,591120248,true,true,false,"","corr_bulk_0.0.1",0,0
58657.400509300176,"903400501015010021",2,903400501015,20.34621,-1,903,0.1600088,18.64235,17.200163,"",18.7839,"",0.1232631,0.018994087,0.032655668,0.0982,"",299.1788471,22.4783667,0.8542857,"t17_f5_c3",0.99999475,18.9736,0.1475,640120210,true,true,false,"","corr_bulk_0.0.1",0,0
58662.32109950017,"908321094815010019",2,908321094815,20.58782,-1,908,0.096594125,19.020912,17.189379,"",19.1826,"",0.114264525,100,0.021149404,0.1179,"",299.1789369,22.4783345,0.82,"t17_f5_c3",0.9999999,19.2933,0.1631,591120248,true,true,false,"","corr_bulk_0.0.1",0,0
58662.32472220017,"908324721015010031",2,908324721015,20.80705,-1,908,0.16537343,18.681393,17.19005,"",18.6171,"",0.07435163,100,0.018825805,0.0601,"",299.1788364,22.4783338,0.80857146,"t17_f5_c3",0.9999701,18.6202,0.075,640120210,true,true,false,"","corr_bulk_0.0.1",0,0
58663.35276619997,"909352761015010075",2,909352761015,20.63989,-1,909,0.33519092,18.703358,17.184559,"",18.7743,"",0.10454774,100,0.025810417,0.0807,"",299.1788285,22.478416,0.6628571,"t17_f5_c3",0.11387333,18.6184,0.0874,640120210,true,true,false,"","corr_bulk_0.0.1",0,0
58665.424571800046,"911424574815010030",2,911424574815,20.798134,-1,911,0.15788856,18.751127,17.247599,"",18.7185,"",0.16241698,0.033868622,0.040664926,0.0672,"",299.1788656,22.4783592,0.7128571,"t17_f5_c3",0.99994576,18.673,0.0801,591120248,true,true,false,"","corr_bulk_0.0.1",0,0
